epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.48835522,0.33696562,0.5122039485142718,1e-04,0.3628511,0.7370592,0.30770606,0.1827924,0.6922939419746399,0.18293786,0.9911243
1,0.6283473,0.47127822,0.3718285636918355,1e-04,0.5688028,0.7402927,0.32365388,0.19496647,0.6763461172580719,0.19183442,0.99967176
2,0.6749432,0.52406716,0.3252915921508235,1e-04,0.63470453,0.75865066,0.4521474,0.2954055,0.5478525817394256,0.29729944,0.91981286
3,0.7219184,0.57964504,0.27800947654618524,1e-04,0.7050342,0.7753304,0.662528,0.50011706,0.3374719858169556,0.52969515,0.847539
4,0.7551779,0.6209478,0.24486431861006264,1e-04,0.76009595,0.786794,0.7342916,0.5890079,0.2657083928585052,0.86276925,0.639162
5,0.7803521,0.65303516,0.21956711491911468,1e-04,0.79442,0.8003325,0.77133065,0.6351725,0.22866933941841125,0.8196758,0.7196345
6,0.8017176,0.6814255,0.19834923476083882,1e-04,0.8241674,0.81112146,0.7449932,0.59971154,0.25500670075416565,0.6584861,0.8356165
7,0.82904285,0.71941954,0.17092203433950878,1e-04,0.8559046,0.83398294,0.7770341,0.6471167,0.22296589612960815,0.82444614,0.72690684
8,0.85407686,0.75600314,0.1459342746586123,1e-04,0.88032174,0.8567487,0.80822694,0.68641,0.19177302718162537,0.85280067,0.7616845
9,0.87263066,0.7834382,0.12730531090271102,1e-04,0.8981238,0.8739008,0.818024,0.7002702,0.18197595477104186,0.83006024,0.80092317
10,0.8822369,0.7968895,0.11767018686941338,1e-04,0.90693825,0.88299656,0.79208946,0.6677746,0.20791056156158447,0.7409575,0.82004756
11,0.8692784,0.7776172,0.13075091640842001,1e-04,0.89630675,0.86986065,0.7989658,0.6749659,0.2010341465473175,0.7716909,0.8157704
12,0.89389247,0.81643915,0.10606004375074973,1e-04,0.91170436,0.899046,0.8286626,0.71503735,0.17133748531341553,0.8500914,0.80096096
13,0.89421314,0.8146974,0.10573135300903584,1e-04,0.91864204,0.8914122,0.790991,0.66450113,0.20900899171829224,0.6955793,0.8830917
14,0.90468216,0.82922953,0.09528265362379873,1e-04,0.92140746,0.9028099,0.81275386,0.6935924,0.18724609017372132,0.8613518,0.7633806
