,Image,Accuracy,F1,Jaccard,Recall,Precision
0,satImage_001,0.96796875,0.9193383382910745,0.8507180099618421,0.9301273885350319,0.9087967140678969
1,satImage_005,0.96369375,0.9130610473382521,0.8400297414149203,0.9339293368440389,0.89310496267018
2,satImage_011,0.9412875,0.0711884516511766,0.0369079352060693,0.0782608695652174,0.06528835690968444
3,satImage_013,0.96875625,0.9220987673559707,0.855457568309961,0.9558053886412096,0.8906885028750339
4,satImage_019,0.91454375,0.6773485617198007,0.512114183764496,0.8675572749803542,0.5555469536270031
5,satImage_023,0.88345,0.7718675833720731,0.6284888933160674,0.7662432294576279,0.7775751152300905
6,satImage_031,0.86136875,0.7139743903854336,0.5551789832547879,0.6115983651828123,0.8575145582951307
7,satImage_032,0.93215,0.7214410345889357,0.5642610580396564,0.6257734253282885,0.8516386987338704
8,satImage_034,0.93255,0.8369542226922496,0.7196227689589775,0.798817591925018,0.8789148024750119
9,satImage_040,0.93869375,0.8117021480813161,0.6830797066330652,0.7277295883243838,0.917581702183065
10,satImage_045,0.9844,0.9055475667902823,0.8273978286425558,0.896859305899108,0.9144058081773022
11,satImage_046,0.9694375,0.9214987478327875,0.8544252924890595,0.9111428571428571,0.9320927513639906
12,satImage_054,0.96886875,0.9198590574871688,0.8516102124109989,0.9164235565671786,0.9233204134366925
13,satImage_071,0.9696375,0.9089546084935717,0.8331043012230315,0.8687708236305665,0.953035959913539
14,satImage_074,0.96235625,0.9253572269522004,0.8610835620545702,0.9096535256566444,0.9416126510126359
15,satImage_077,0.9761375,0.8270049841413684,0.7050370828182941,0.8728837876614061,0.7857081360309944
16,satImage_078,0.821175,0.4768904490273512,0.3131031833677438,0.46772342562042746,0.48642398925854097
17,satImage_081,0.93608125,0.8781789377136662,0.7828155195480898,0.8464877029416492,0.9123354123354124
18,satImage_084,0.9458,0.8810849354139813,0.7874457707296747,0.8543278819305944,0.9095722091673508
19,satImage_091,0.92401875,0.7472294417299096,0.596461528248025,0.6269932656408109,0.9245215064828154
